id;user_id;dia;categoria;pedir_ajuste;ajuste_finalizado;observacao;created_at;updated_at;deleted_at
00fdc1e0-d331-43f1-b703-f5900a87f162;4d25c7c3-0395-4b60-8ea2-937c8d573463;2025-05-09;presencial;0;0;Apresentação na escola da Diana;2025-05-09 08:03:47;2025-05-12 14:02:49;
0116119e-c25f-4663-8ad7-904d4b6e640b;4d25c7c3-0395-4b60-8ea2-937c8d573463;2025-03-06;home_office;0;0;;2025-03-06 08:02:35;2025-03-06 08:02:35;
015eb923-628f-49db-bf93-5f9d8bdbd622;4d25c7c3-0395-4b60-8ea2-937c8d573463;2025-02-19;presencial;0;0;;2025-02-19 08:18:03;2025-02-19 08:18:03;
02619758-281f-4483-ad29-cb69781320b7;4d25c7c3-0395-4b60-8ea2-937c8d573463;2025-03-05;presencial;0;0;;2025-03-05 13:41:12;2025-03-07 08:38:46;
02ceb7e8-417c-4749-bca0-1f0811d09725;4d25c7c3-0395-4b60-8ea2-937c8d573463;2024-10-22;home_office;0;0;;2024-12-16 09:44:59;2024-12-16 09:44:59;
04997d07-69aa-4317-bbdb-c163f7efd800;4d25c7c3-0395-4b60-8ea2-937c8d573463;2025-05-19;presencial;0;0;;2025-05-19 07:59:53;2025-05-19 08:00:18;
061f9f17-1759-4931-a40d-ace7facbb271;4d25c7c3-0395-4b60-8ea2-937c8d573463;2025-09-30;home_office;0;0;;2025-09-30 11:04:45;2025-09-30 11:04:45;
06277d56-71d7-4c5e-83f4-182a96aa576e;4d25c7c3-0395-4b60-8ea2-937c8d573463;2025-11-06;home_office;0;0;;2025-11-06 11:06:48;2025-11-06 20:07:27;
07a2d67e-57d7-420e-bfa0-df8b820c792c;4d25c7c3-0395-4b60-8ea2-937c8d573463;2024-12-06;presencial;0;0;;2024-12-16 09:44:59;2024-12-16 09:44:59;
07c91d78-a158-4b49-882d-27596b2b4f3c;4d25c7c3-0395-4b60-8ea2-937c8d573463;2025-04-04;presencial;0;0;;2025-04-04 13:27:23;2025-04-04 14:31:54;
0869f11a-e916-43bf-98d5-c0edde5d5217;4d25c7c3-0395-4b60-8ea2-937c8d573463;2025-09-09;home_office;0;0;13:43S14:43;2025-09-09 11:04:56;2025-09-09 16:43:48;
08c22822-2d4c-4233-b388-b9db7e95096a;4d25c7c3-0395-4b60-8ea2-937c8d573463;2025-01-23;home_office;0;0;Dia de Terapia;2025-01-23 08:01:54;2025-01-23 08:01:54;
09a28a4a-51f8-4037-b4a7-51a4782bed0a;4d25c7c3-0395-4b60-8ea2-937c8d573463;2025-09-26;home_office;0;0;;2025-09-26 12:52:37;2025-09-26 12:52:37;
0a8c831e-2790-4de2-8aa7-3d97920ca851;4d25c7c3-0395-4b60-8ea2-937c8d573463;2024-12-19;home_office;0;0;;2024-12-19 08:06:01;2024-12-19 08:06:01;
0bc04e89-990b-4c1b-8194-e7e855b0ae14;4d25c7c3-0395-4b60-8ea2-937c8d573463;2024-11-26;presencial;0;0;;2024-12-16 09:44:59;2024-12-16 09:44:59;
0bdc78ff-f9e5-4e48-a239-bcb5af4be6ba;4d25c7c3-0395-4b60-8ea2-937c8d573463;2025-11-14;home_office;0;0;;2025-11-14 11:16:33;2025-11-14 20:16:54;
0c11afd5-b0cc-42d4-8582-60e056eb48e2;4d25c7c3-0395-4b60-8ea2-937c8d573463;2024-11-19;home_office;0;0;;2024-12-16 09:44:59;2024-12-16 09:44:59;
0c3d2bdd-9ad4-49cd-8809-15568b0bcac0;4d25c7c3-0395-4b60-8ea2-937c8d573463;2025-07-17;home_office;0;0;;2025-07-17 08:03:20;2025-07-17 08:03:20;
0d0e1fa3-8e4b-4e16-a90d-1a635c2681ae;4d25c7c3-0395-4b60-8ea2-937c8d573463;2024-11-28;home_office;1;1;Fiquei até mais tarde olhando o critério que desenquadrou no supplier;2024-12-16 09:44:59;2024-12-16 09:44:59;
0e205d9f-2c81-4912-a538-8c61b1a78516;4d25c7c3-0395-4b60-8ea2-937c8d573463;2025-05-08;home_office;0;0;Intervalo opcional de 20min para levar a Diana na escola;2025-05-08 08:03:51;2025-05-08 17:13:07;
0e6dec61-7f24-49c8-b65b-1ba7bc692277;4d25c7c3-0395-4b60-8ea2-937c8d573463;2024-11-18;home_office;0;0;;2024-12-16 09:44:59;2024-12-16 09:44:59;
0f63ad3f-2c42-4a4b-bbd1-1b63f4543d2a;4d25c7c3-0395-4b60-8ea2-937c8d573463;2025-09-17;home_office;0;0;;2025-09-17 16:38:58;2025-09-17 16:38:58;
0fb33152-8f5c-46b7-8473-d4dd100971a0;4d25c7c3-0395-4b60-8ea2-937c8d573463;2025-06-12;presencial;0;0;;2025-06-12 08:12:57;2025-06-12 13:39:46;
0fd3fdfa-1238-4a18-b399-2a547ac88d20;4d25c7c3-0395-4b60-8ea2-937c8d573463;2025-02-17;home_office;0;0;;2025-02-17 08:07:54;2025-02-17 08:07:54;
